EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
102409;Posta de Salud Rural Enquelga;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Tarapacá;Colchane;Baja Complejidad;Atención Abierta-Ambulatoria
101406;Posta de Salud Rural Codpa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Arica Parinacota;Camarones;Baja Complejidad;Atención Abierta-Ambulatoria
101407;Posta de Salud Rural Ticnamar;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Arica Parinacota;Putre;Baja Complejidad;Atención Abierta-Ambulatoria
101408;Posta de Salud Rural Sobraya;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
201017;Complejo Penitenciario Femenino de Arica;Hospital;Fuerzas Armadas y de Orden;Gendamería;Pendiente;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Cerrada-Hospitalaria
101215;Complejo Penitenciario;Hospital;Fuerzas Armadas y de Orden;Gendamería;Pendiente;Región de Arica Parinacota;Arica;Pendiente;Atención Cerrada-Hospitalaria
101400;Posta de Salud Rural San Miguel de Azapa;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
200866;Centro de Salud Familiar Matrona Rosa Vascopé Zarzola;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101704;Centro Comunitario de Salud Familiar Cerro La Cruz;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101239;Policlínico Médico Dental de Carabineros;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101030;Unidad de Salud Funcionario S.S Arica;Unidad de Salud Funcionarios;Público;Servicio de Salud;Secundario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101011;PRAIS (S.S Arica);Programa de Reparación y Atención Integral de Salud (PRAIS);Público;Servicio de Salud;No Aplica;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101303;Centro de Salud Familiar E.U. Iris Veliz Hume (Ex Oriente);Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
200095;SAR E.U. Iris Véliz Hume;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Arica Parinacota;Arica;Baja Complejidad;Atención Abierta-Ambulatoria
101306;Centro de Salud Ambiental de Arica;Otro;Público;Servicio de Salud;Primario;Región de Arica Parinacota;Arica;Pendiente;Atención Abierta-Ambulatoria
101100;Hospital Regional Dr. Juan Noé Crevani (Arica);Hospital;Público;Servicio de Salud;Terciario;Región de Arica Parinacota;Arica;Alta Complejidad;Atención Cerrada-Hospitalaria
200601;Hospital de Día Adulto Arica;Hospital de Dia Adulto;Público;Servicio de Salud;Secundario;Región de Arica Parinacota;Arica;Mediana Complejidad;Atención Abierta-Ambulatoria
